ticket_id,ticket_text,category,priority,source_channel
10001,"Hello, Unable to update billing details in the payment gateway settings.",Billing,Medium,Web Portal
10002,Urgent: 2FA SMS authentication code is not delivering to my phone.,Account Access,High,Phone
10003,Urgent: The latest update broke the UI layout on mobile view.,Technical Support,High,Chat
10004,"Hello, The new features are completely broken and ruining our daily workflows.",Complaint,Low,Phone
10005,Regarding my account: Downgrade our team's corporate subscription to the free tier.,Cancellation,High,Phone
10006,"Hi team, Critical error: 403 Forbidden unhandled exception on the dashboard.",Technical Support,High,Email
10007,Urgent: Password reset link expired or is invalid.,Account Access,High,Phone
10008,"Hi team, Production server is throwing 500 Internal Server Error errors during opening settings.",Technical Support,High,Phone
10009,Regarding my account: Need to transfer master ownership of the workspace to another admin.,Account Access,High,Chat
10010,"Hi team, Locked out of my admin account after entering the wrong MFA token.",Account Access,High,Email
10011,Urgent: The service availability falls way short of the promised uptime SLA.,Complaint,High,Phone
10012,Urgent: Is your infrastructure fully SOC2 and GDPR compliant?,General Inquiry,Low,Web Portal
10013,"Hello, Requesting a refund for accidental renewal of the license tier.",Billing,Medium,Phone
10014,Password reset link expired or is invalid.,Account Access,Medium,Phone
10015,API webhook integration is failing to sync payload data.,Technical Support,High,Web Portal
10016,"Hi team, The new features are completely broken and ruining our daily workflows.",Complaint,Medium,Email
10017,Urgent: Cannot authorize login via Google OAuth provider.,Account Access,Low,Phone
10018,"Hi team, I want to terminate my membership and delete all stored personal data.",Cancellation,Low,Web Portal
10019,Locked out of my admin account after entering the wrong MFA token.,Account Access,High,Web Portal
10020,"Hi team, Unable to connect to the database, getting a timeout error.",Technical Support,High,Phone
10021,Please help - Need a copy of invoice #9788 for our company accounts.,Billing,Low,Phone
10022,"Hello, Why is there an unexpected charge on my statement this month?",Billing,Medium,Phone
10023,Urgent: The latest update broke the UI layout on mobile view.,Technical Support,High,Chat
10024,Urgent: Is your infrastructure fully SOC2 and GDPR compliant?,General Inquiry,Medium,Chat
10025,"Hi team, Unable to connect to the database, getting a timeout error.",Technical Support,Low,Chat
10026,"Hi team, The service availability falls way short of the promised uptime SLA.",Complaint,High,Chat
10027,Please help - Unable to update billing details in the payment gateway settings.,Billing,Low,Phone
10028,Regarding my account: The new features are completely broken and ruining our daily workflows.,Complaint,High,Email
10029,Need a copy of invoice #7444 for our company accounts.,Billing,Medium,Email
10030,"Hi team, The service availability falls way short of the promised uptime SLA.",Complaint,Medium,Chat
10031,"Hi team, Extremely slow performance, page loads take over 10 seconds.",Technical Support,Low,Chat
10032,"Hi team, My profile shows as deactivated or suspended without notice.",Account Access,Medium,Chat
10033,Urgent: 2FA SMS authentication code is not delivering to my phone.,Account Access,High,Email
10034,"Hello, Production server is throwing 500 Internal Server Error errors during opening settings.",Technical Support,High,Phone
10035,Regarding my account: Need a copy of invoice #7171 for our company accounts.,Billing,Low,Email
10036,"Regarding my account: Extremely slow performance, page loads take over 10 seconds.",Technical Support,Low,Email
10037,"Extremely slow performance, page loads take over 10 seconds.",Technical Support,High,Phone
10038,Please help - API webhook integration is failing to sync payload data.,Technical Support,Low,Web Portal
10039,"Hi team, Terrible experience, your customer support agent completely ignored my issue.",Complaint,Low,Chat
10040,"Hello, Production server is throwing 403 Forbidden errors during loading charts.",Technical Support,Medium,Chat
10041,Urgent: Please cancel my premium subscription immediately.,Cancellation,Medium,Chat
10042,"Hello, Production server is throwing 500 Internal Server Error errors during processing checkout.",Technical Support,High,Phone
10043,"Hello, How do I close my account? I cannot find the option in the portal.",Cancellation,High,Chat
10044,Please help - Cannot authorize login via Google OAuth provider.,Account Access,High,Email
10045,"Urgent: Extremely slow performance, page loads take over 10 seconds.",Technical Support,Medium,Email
10046,Please help - Unable to update billing details in the payment gateway settings.,Billing,Medium,Email
10047,Please help - Requesting a refund for accidental renewal of the license tier.,Billing,Low,Web Portal
10048,"Hello, Unable to update billing details in the payment gateway settings.",Billing,Medium,Email
10049,Please help - Need a copy of invoice #6148 for our company accounts.,Billing,Medium,Phone
10050,Urgent: 2FA SMS authentication code is not delivering to my phone.,Account Access,High,Phone
10051,Just checking if there is any scheduled maintenance window this weekend.,General Inquiry,Medium,Phone
10052,"Hello, Need to transfer master ownership of the workspace to another admin.",Account Access,High,Web Portal
10053,Please help - I've been waiting over 48 hours for an urgent response.,Complaint,High,Chat
10054,"Please help - Terrible experience, your customer support agent completely ignored my issue.",Complaint,Medium,Email
10055,Extremely disappointed with the unannounced price hike.,Complaint,High,Email
10056,"Hi team, Downgrade our team's corporate subscription to the free tier.",Cancellation,High,Email
10057,Urgent: Application crashes whenever I try to exporting reports.,Technical Support,High,Email
10058,Regarding my account: Production server is throwing NullPointerException errors during loading charts.,Technical Support,High,Email
10059,Urgent: The new features are completely broken and ruining our daily workflows.,Complaint,Medium,Phone
10060,Urgent: Why is there an unexpected charge on my statement this month?,Billing,High,Web Portal
10061,Please help - Why is there an unexpected charge on my statement this month?,Billing,Low,Phone
10062,"Hello, Where can I find the official developer API reference guides?",General Inquiry,Low,Phone
10063,"Hello, How do I close my account? I cannot find the option in the portal.",Cancellation,Medium,Email
10064,Urgent: API webhook integration is failing to sync payload data.,Technical Support,Medium,Phone
10065,Regarding my account: Can you send over details regarding enterprise tier volume pricing?,General Inquiry,Low,Email
10066,"Hi team, Need a copy of invoice #6085 for our company accounts.",Billing,Low,Chat
10067,"Hello, Can you send over details regarding enterprise tier volume pricing?",General Inquiry,Low,Chat
10068,"Urgent: Unable to connect to the database, getting a timeout error.",Technical Support,Medium,Phone
10069,"Hi team, The service availability falls way short of the promised uptime SLA.",Complaint,High,Phone
10070,"Hi team, Terrible experience, your customer support agent completely ignored my issue.",Complaint,High,Phone
10071,Need to transfer master ownership of the workspace to another admin.,Account Access,Medium,Email
10072,Urgent: API webhook integration is failing to sync payload data.,Technical Support,High,Chat
10073,Urgent: I was double charged for my monthly subscription fee.,Billing,Medium,Chat
10074,How do I close my account? I cannot find the option in the portal.,Cancellation,Medium,Email
10075,"Urgent: Unable to connect to the database, getting a timeout error.",Technical Support,High,Email
10076,Urgent: Production server is throwing 403 Forbidden errors during exporting reports.,Technical Support,High,Web Portal
10077,"Hello, Do you provide dedicated training webinars or onboarding documentation?",General Inquiry,Low,Email
10078,"Hi team, Locked out of my admin account after entering the wrong MFA token.",Account Access,High,Email
10079,Regarding my account: Application crashes whenever I try to saving data.,Technical Support,High,Chat
10080,"Hello, Extremely slow performance, page loads take over 10 seconds.",Technical Support,High,Email
10081,Is your infrastructure fully SOC2 and GDPR compliant?,General Inquiry,Low,Web Portal
10082,"Hello, My corporate credit card was declined but funds are showing as locked.",Billing,Low,Phone
10083,Please help - Unable to update billing details in the payment gateway settings.,Billing,Low,Web Portal
10084,"Hi team, Is your infrastructure fully SOC2 and GDPR compliant?",General Inquiry,Low,Phone
10085,Please help - Is your infrastructure fully SOC2 and GDPR compliant?,General Inquiry,Medium,Email
10086,"Hi team, Password reset link expired or is invalid.",Account Access,Low,Web Portal
10087,"Hi team, Cannot authorize login via Google OAuth provider.",Account Access,Medium,Phone
10088,Regarding my account: Can you send over details regarding enterprise tier volume pricing?,General Inquiry,Low,Phone
10089,Please help - Do you provide dedicated training webinars or onboarding documentation?,General Inquiry,Low,Chat
10090,Regarding my account: Extremely disappointed with the unannounced price hike.,Complaint,High,Email
10091,Urgent: Please cancel my premium subscription immediately.,Cancellation,Low,Chat
10092,Please help - Just checking if there is any scheduled maintenance window this weekend.,General Inquiry,Low,Email
